Target,Entropy_PMA,Compound_Count_PMA,Entropy_noPMA,Compound_Count_noPMA,Entropy_Diff,Avg_Compound_Count
Carbonic_Anhydrase,2.079441542,8,2.271868513,11,-0.192426971,9.5
HCV_NS3/4A_protease,1.889159164,9,2.079441542,8,-0.190282378,8.5
Bcr-Abl,2.118649247,15,2.303488495,15,-0.184839248,15
DPP,1.732867951,8,1.906154747,8,-0.173286795,8
HIF,1.979204517,12,2.145841753,11,-0.166637235,11.5
AURK,1.324668611,21,1.482169308,23,-0.157500698,22
JNK,2.043191871,9,2.197224577,9,-0.154032707,9
BRAF,0.867563228,6,1.011404265,6,-0.143841036,6
Androgen_Receptor,2.464507779,23,2.59923435,22,-0.13472657,22.5
HSP,1.609170246,25,1.735638826,22,-0.126468581,23.5
Topoisomerase,2.472534803,52,2.587370138,58,-0.114835335,55
Glucokinase,1.791759469,6,1.889159164,9,-0.097399695,7.5
MAO,2.430791329,15,2.51265853,16,-0.081867201,15.5
Adrenergic_Receptor,2.808151866,56,2.884841159,55,-0.076689293,55.5
AChE,1.906154747,8,1.972246979,11,-0.066092233,9.5
Metabolite,2.885475156,79,2.947972345,81,-0.062497189,80
Retinoid_Receptor,2.145841753,11,2.197224577,9,-0.051382825,10
ATPase,1.560710409,6,1.609437912,5,-0.048727503,5.5
PI3K,2.762721001,63,2.807227994,75,-0.044506993,69
Myc,1.747868097,7,1.791759469,6,-0.043891372,6.5
Cannabinoid_Receptor,1.945910149,7,1.972246979,11,-0.02633683,9
Penicillin_Binding,2.737975556,26,2.754229162,34,-0.016253606,30
Phospholipase,1.732867951,8,1.747868097,7,-0.015000146,7.5
Histamine_Receptor,2.825509785,41,2.830310257,36,-0.004800471,38.5
AMPK,2.553237003,18,2.557507739,21,-0.004270736,19.5
AKT,2.513223156,24,2.5164103,21,-0.003187144,22.5
Fatty_Acid,2.245035274,13,2.245035274,13,-4.44E-16,13
Caspase,1.560710409,6,1.560710409,6,-2.22E-16,6
Dihydroorotate_Dehydrogenase,1.667461933,8,1.667461933,8,-2.22E-16,8
Thymidylate_Synthase,1.242453325,6,1.242453325,6,0,6
Chloride_Channel,1.33217904,5,1.33217904,5,0,5
Inositol-requiring_enzyme_1,1.609437912,5,1.609437912,5,0,5
Stearoyl-CoA_Desaturase,1.791759469,6,1.791759469,6,0,6
Antimalarial,2.043191871,9,2.043191871,9,0,9
IGF-1R,1.732867951,8,1.732867951,8,2.22E-16,8
Casein_Kinase,1.747868097,7,1.747868097,7,4.44E-16,7
PAK,1.560710409,6,1.549826046,7,0.010884363,6.5
Bacterial_Ribosome,2.578405174,31,2.559293251,31,0.019111923,31
mTOR,1.754914513,28,1.733416275,27,0.021498238,27.5
Serotonin,1.935600505,12,1.908535282,14,0.027065224,13
TGF,2.36938212,12,2.341994252,14,0.027387867,13
Mdm2,2.271868513,11,2.242973226,14,0.028895286,12.5
MAPK,2.618268371,26,2.588573163,17,0.029695209,21.5
5-HT,2.979586629,52,2.946015477,45,0.033571152,48.5
Na+/K+_ATPase,0.63903186,10,0.600166073,11,0.038865786,10.5
FGFR,2.622996276,20,2.582306344,18,0.040689932,19
DNA/RNA_Associated,3.171898848,60,3.116656298,57,0.05524255,58.5
PDE,2.655725387,30,2.593031205,23,0.062694182,26.5
Dopamine,2.921380888,48,2.841968116,45,0.079412771,46.5
Apoptosis_Autophagy,3.393265155,79,3.30983633,66,0.083428825,72.5
Cytochrome,2.817698405,36,2.730113963,24,0.087584442,30
Estrogen_Receptor,2.98655977,40,2.898974985,39,0.087584785,39.5
TLR,2.341994252,14,2.25385759,12,0.088136663,13
Histone_Methyltransferase,2.25385759,12,2.163955657,10,0.089901933,11
Rho/ROCK,2.242973226,14,2.139085895,18,0.103887332,16
NOS,2.138397246,13,2.025326221,10,0.113071026,11.5
AChR,3.066552517,67,2.945698491,55,0.120854026,61
Transient_Receptor,2.614589433,24,2.48436684,20,0.130222593,22
FLT3,2.019814992,11,1.886696785,10,0.133118208,10.5
COX,3.102674399,66,2.966379546,66,0.136294854,66
Liver_X_Receptor,1.747868097,7,1.609437912,5,0.138430185,6
P-glycoprotein,1.747868097,7,1.609437912,5,0.138430185,6
Tyrosine_Kinase,2.306668725,16,2.163955657,10,0.142713069,13
PKC,2.622996276,20,2.47622065,18,0.146775626,19
Adenosine_Receptor,2.311423445,13,2.163955657,10,0.147467788,11.5
BRD,1.830685529,19,1.669976803,17,0.160708726,18
HDAC,2.420341497,49,2.256795077,45,0.16354642,47
Serine_Kinase,2.245035274,13,2.079441542,8,0.165593732,10.5
PPAR,2.795818511,37,2.626164786,22,0.169653724,29.5
VEGFR,2.730113963,24,2.553681558,20,0.176432405,22
CSF,1.791759469,6,1.609437912,5,0.182321557,5.5
Anti-infection,1.676987774,9,1.475076311,7,0.201911463,8
GABA,2.790562047,39,2.582995028,28,0.207567019,33.5
Norepinephrine_Transporter,1.549826046,7,1.33217904,5,0.217647006,6
mGluR,1.560710409,6,1.33217904,5,0.228531369,5.5
Melanocortin_Receptor,1.560710409,6,1.33217904,5,0.228531369,5.5
Sphingosine_Kinase/Receptor,1.560710409,6,1.33217904,5,0.228531369,5.5
P2_Receptor,2.13833306,12,1.906154747,8,0.232178313,10
PDGFR,2.025326221,10,1.791759469,6,0.233566752,8
DHFR,1.906154747,8,1.671595278,13,0.234559469,10.5
Potassium_Channel,2.916372066,35,2.679706039,27,0.236666027,31
Sodium_Channel,2.769751393,36,2.525535307,31,0.244216086,33.5
Ras,2.450396283,21,2.204785417,13,0.245610866,17
CDK,2.779111962,65,2.529610654,62,0.249501308,63.5
Antibacterial,3.157197652,56,2.891184577,52,0.266013075,54
Opioid_Receptor,2.63905733,14,2.36938212,12,0.26967521,13
Gamma-secretase,2.163955657,10,1.889159164,9,0.274796493,9.5
Ferroptosis,1.609437912,5,1.33217904,5,0.277258872,5
IKK,2.025326221,10,1.747868097,7,0.277458123,8.5
Serine_Protease,1.906154747,8,1.609437912,5,0.296716834,6.5
Wnt/beta-Catenin,2.441214529,20,2.143952201,14,0.297262328,17
EGFR,2.752301582,62,2.441483825,65,0.310817756,63.5
HIV,2.532591161,21,2.216102248,18,0.316488913,19.5
NMDA_Receptor,2.351673302,13,2.025326221,10,0.326347081,11.5
Retinoic_Acid,1.945910149,7,1.609437912,5,0.336472237,6
NADPH_MetabolismEnzyme,1.889159164,9,1.549826046,7,0.339333118,8
Proteasome,1.908036835,18,1.560710409,12,0.347326425,15
VDAC,1.906154747,8,1.549826046,7,0.356328701,7.5
Syk,1.609437912,5,1.242453325,6,0.366984588,5.5
Antifungal,2.527519151,20,2.145841753,11,0.381677398,15.5
BTK,2.406159575,19,2.022808529,12,0.383351046,15.5
c-Met_HGFR,2.567659362,27,2.163955657,10,0.403703706,18.5
KIF,1.791759469,6,1.386294361,8,0.405465108,7
ROS,2.204785417,13,1.791759469,6,0.413025948,9.5
Prostaglandin,2.524545922,19,2.106577333,14,0.417968588,16.5
Progesterone_Receptor,2.311423445,13,1.889159164,9,0.422264281,11
Epigenetic_Reader_Domain,2.397895273,11,1.973001406,10,0.424893866,10.5
FXR,1.791759469,6,1.33217904,5,0.459580429,5.5
Aryl_Hydrocarbon_Receptor,2.25385759,12,1.791759469,6,0.46209812,9
Sigma_Receptor,2.079441542,8,1.609437912,5,0.470003629,6.5
Nrf,2.210253578,12,1.735126457,9,0.475127121,10.5
IDO,2.043191871,9,1.560710409,6,0.482481462,7.5
Microtubule_Associated,1.986981619,50,1.491638065,53,0.495343553,51.5
GPCR,2.430791329,15,1.906154747,8,0.524636582,11.5
Chk,1.83437197,10,1.294545166,11,0.539826804,10.5
CCR,2.302585093,10,1.732867951,8,0.569717142,9
Farnesyl_synthase,1.945910149,7,1.33217904,5,0.613731109,6
BET,1.973001406,10,1.349792396,12,0.62320901,11
Src,2.098147389,13,1.468060203,14,0.630087186,13.5
Reverse_Transcriptase,2.245035274,13,1.609437912,10,0.635597362,11.5
Integrin,1.889159164,9,1.242453325,6,0.646705839,7.5
Steroid_Biosynthesis,2.540036304,14,1.886696785,10,0.653339519,12
PLK,1.536722469,14,0.822265337,16,0.714457132,15
FAK,1.747868097,7,0.950270539,5,0.797597558,6
Smoothened_Receptor,2.079441542,8,0.950270539,5,1.129171002,6.5
